bed_gs,talus_gs,lith,talus_dimensions,vert,horiz,slope_distance,incline,bf_w,bluff_h,coord_n,coord_w
5.6,,,,,,,,29.49,29.21,35.969621,-93.228538
5.6,,,,,,,,,,,
8,,,,,,,,,,,
8,,,,,,,,,,,
8,,,,,,,,,,,
11,,,,,,,,,,,
11,,,,,,,,,,,
11,,,,,,,,,,,
11,,,,,,,,,,,
11,,,,,,,,,,,
11,,,,,,,,,,,
16,,,,,,,,,,,
16,,,,,,,,,,,
16,,,,,,,,,,,
16,,,,,,,,,,,
16,,,,,,,,,,,
16,,,,,,,,,,,
16,,,,,,,,,,,
16,,,,,,,,,,,
16,,,,,,,,,,,
16,,,,,,,,,,,
16,,,,,,,,,,,
16,,,,,,,,,,,
16,,,,,,,,,,,
22.6,,,,,,,,,,,
22.6,,,,,,,,,,,
22.6,,,,,,,,,,,
22.6,,,,,,,,,,,
22.6,,,,,,,,,,,
22.6,,,,,,,,,,,
22.6,,,,,,,,,,,
22.6,,,,,,,,,,,
22.6,,,,,,,,,,,
22.6,,,,,,,,,,,
22.6,,,,,,,,,,,
22.6,,,,,,,,,,,
22.6,,,,,,,,,,,
22.6,,,,,,,,,,,
22.6,,,,,,,,,,,
22.6,,,,,,,,,,,
22.6,,,,,,,,,,,
32,,,,,,,,,,,
32,,,,,,,,,,,
32,,,,,,,,,,,
32,,,,,,,,,,,
32,,,,,,,,,,,
32,,,,,,,,,,,
32,,,,,,,,,,,
32,,,,,,,,,,,
32,,,,,,,,,,,
32,,,,,,,,,,,
32,,,,,,,,,,,
32,,,,,,,,,,,
32,,,,,,,,,,,
32,,,,,,,,,,,
32,,,,,,,,,,,
32,,,,,,,,,,,
32,,,,,,,,,,,
32,,,,,,,,,,,
32,,,,,,,,,,,
32,,,,,,,,,,,
32,,,,,,,,,,,
32,,,,,,,,,,,
32,,,,,,,,,,,
32,,,,,,,,,,,
32,,,,,,,,,,,
32,,,,,,,,,,,
32,,,,,,,,,,,
32,,,,,,,,,,,
32,,,,,,,,,,,
32,,,,,,,,,,,
32,,,,,,,,,,,
32,,,,,,,,,,,
45,,,,,,,,,,,
45,,,,,,,,,,,
45,,,,,,,,,,,
45,,,,,,,,,,,
45,,,,,,,,,,,
45,,,,,,,,,,,
45,,,,,,,,,,,
45,,,,,,,,,,,
45,,,,,,,,,,,
45,,,,,,,,,,,
45,,,,,,,,,,,
45,,,,,,,,,,,
45,,,,,,,,,,,
45,,,,,,,,,,,
45,,,,,,,,,,,
45,,,,,,,,,,,
45,,,,,,,,,,,
45,,,,,,,,,,,
45,,,,,,,,,,,
45,,,,,,,,,,,
45,,,,,,,,,,,
45,,,,,,,,,,,
45,,,,,,,,,,,
45,,,,,,,,,,,
45,,,,,,,,,,,
45,,,,,,,,,,,
45,,,,,,,,,,,
45,,,,,,,,,,,
45,,,,,,,,,,,
45,,,,,,,,,,,
45,,,,,,,,,,,
64,,,,,,,,,,,
64,,,,,,,,,,,
64,,,,,,,,,,,
64,,,,,,,,,,,
64,,,,,,,,,,,
64,,,,,,,,,,,
64,,,,,,,,,,,
64,,,,,,,,,,,
64,,,,,,,,,,,
64,,,,,,,,,,,
64,,,,,,,,,,,
64,,,,,,,,,,,
64,,,,,,,,,,,
64,,,,,,,,,,,
64,,,,,,,,,,,
64,,,,,,,,,,,
64,,,,,,,,,,,
64,,,,,,,,,,,
64,,,,,,,,,,,
64,,,,,,,,,,,
64,,,,,,,,,,,
64,,,,,,,,,,,
64,,,,,,,,,,,
64,,,,,,,,,,,
90,,,,,,,,,,,
90,,,,,,,,,,,
90,,,,,,,,,,,
90,,,,,,,,,,,
90,,,,,,,,,,,
90,,,,,,,,,,,
90,,,,,,,,,,,
90,,,,,,,,,,,
90,,,,,,,,,,,
90,,,,,,,,,,,
90,,,,,,,,,,,
90,,,,,,,,,,,
90,,,,,,,,,,,
128,,,,,,,,,,,
128,,,,,,,,,,,
128,,,,,,,,,,,
128,,,,,,,,,,,
128,,,,,,,,,,,
128,,,,,,,,,,,
128,,,,,,,,,,,
128,,,,,,,,,,,
128,,,,,,,,,,,
128,,,,,,,,,,,
128,,,,,,,,,,,
128,,,,,,,,,,,
128,,,,,,,,,,,
180,,,,,,,,,,,
180,,,,,,,,,,,
180,,,,,,,,,,,
180,,,,,,,,,,,
180,,,,,,,,,,,
180,,,,,,,,,,,
256,,,,,,,,,,,
