bed_gs,talus_gs,lith,talus_dimensions,vert,depth,horiz,slope_distance,incline,bf_w,bluff_h,coord_n,coord_w
5.6,750,L,,4.13,4.36,9.5,,,20.2,6.68,35.950855,-93.303411
5.6,710,L,,,,,,,,,,
8,760,L,,,,,,,,,,
11,770,L,,,,,,,,,,
11,1000,L,,,,,,,,,,
16,1000,L,,,,,,,,,,
16,210,L,,,,,,,,,,
16,420,L,,,,,,,,,,
16,230,L,,,,,,,,,,
16,470,L,,,,,,,,,,
16,250,L,,,,,,,,,,
16,610,L,,,,,,,,,,
16,290,L,,,,,,,,,,
16,410,L,,,,,,,,,,
16,610,L,,,,,,,,,,
16,630,L,,,,,,,,,,
16,420,L,,,,,,,,,,
16,860,L,,,,,,,,,,
16,710,L,,,,,,,,,,
22.6,550,L,,,,,,,,,,
22.6,890,L,,,,,,,,,,
22.6,310,L,,,,,,,,,,
22.6,130,L,,,,,,,,,,
22.6,180,L,,,,,,,,,,
22.6,330,L,,,,,,,,,,
22.6,190,L,,,,,,,,,,
22.6,1100,L,,,,,,,,,,
22.6,190,L,,,,,,,,,,
22.6,200,L,,,,,,,,,,
22.6,700,L,,,,,,,,,,
22.6,740,L,,,,,,,,,,
22.6,650,L,,,,,,,,,,
32,370,L,,,,,,,,,,
32,120,L,,,,,,,,,,
32,570,L,,,,,,,,,,
32,190,L,,,,,,,,,,
32,370,L,,,,,,,,,,
32,130,L,,,,,,,,,,
32,,,,,,,,,,,,
32,,,,,,,,,,,,
32,,,,,,,,,,,,
32,,,,,,,,,,,,
32,,,,,,,,,,,,
32,,,,,,,,,,,,
32,,,,,,,,,,,,
32,,,,,,,,,,,,
32,,,,,,,,,,,,
32,,,,,,,,,,,,
32,,,,,,,,,,,,
32,,,,,,,,,,,,
45,,,,,,,,,,,,
45,,,,,,,,,,,,
45,,,,,,,,,,,,
45,,,,,,,,,,,,
45,,,,,,,,,,,,
45,,,,,,,,,,,,
45,,,,,,,,,,,,
45,,,,,,,,,,,,
45,,,,,,,,,,,,
45,,,,,,,,,,,,
45,,,,,,,,,,,,
45,,,,,,,,,,,,
45,,,,,,,,,,,,
45,,,,,,,,,,,,
45,,,,,,,,,,,,
45,,,,,,,,,,,,
45,,,,,,,,,,,,
45,,,,,,,,,,,,
45,,,,,,,,,,,,
45,,,,,,,,,,,,
64,,,,,,,,,,,,
64,,,,,,,,,,,,
64,,,,,,,,,,,,
64,,,,,,,,,,,,
64,,,,,,,,,,,,
64,,,,,,,,,,,,
64,,,,,,,,,,,,
64,,,,,,,,,,,,
64,,,,,,,,,,,,
64,,,,,,,,,,,,
64,,,,,,,,,,,,
64,,,,,,,,,,,,
64,,,,,,,,,,,,
64,,,,,,,,,,,,
90,,,,,,,,,,,,
90,,,,,,,,,,,,
90,,,,,,,,,,,,
90,,,,,,,,,,,,
90,,,,,,,,,,,,
90,,,,,,,,,,,,
90,,,,,,,,,,,,
128,,,,,,,,,,,,
128,,,,,,,,,,,,
128,,,,,,,,,,,,
128,,,,,,,,,,,,
128,,,,,,,,,,,,
128,,,,,,,,,,,,
180,,,,,,,,,,,,
180,,,,,,,,,,,,
180,,,,,,,,,,,,
180,,,,,,,,,,,,
256,,,,,,,,,,,,
256,,,,,,,,,,,,
256,,,,,,,,,,,,
362,,,,,,,,,,,,
