bed_gs,talus_gs,lith,talus_dimensions,vert,depth,horiz,slope_distance,incline,bf_w,bluff_h,coord_n,coord_w
5.6,580,L,,2,2.55,105.95,,,32.14,35.34,35.933221,-93.310532
5.6,210,L,,4.04,,,,,,,,
5.6,200,L,,,,,,,,,,
5.6,210,L,,,,,,,,,,
8,260,L,,,,,,,,,,
8,220,L,,,,,,,,,,
11,380,L,,,,,,,,,,
11,130,L,,,,,,,,,,
11,1010,L,,,,,,,,,,
11,150,L,,,,,,,,,,
11,420,L,,,,,,,,,,
11,170,L,,,,,,,,,,
16,250,L,,,,,,,,,,
16,680,L,,,,,,,,,,
16,320,L,,,,,,,,,,
16,210,L,,,,,,,,,,
16,470,L,,,,,,,,,,
16,360,L,,,,,,,,,,
22.6,530,L,,,,,,,,,,
22.6,530,L,,,,,,,,,,
22.6,130,L,,,,,,,,,,
22.6,470,L,,,,,,,,,,
22.6,810,L,,,,,,,,,,
22.6,770,L,,,,,,,,,,
22.6,270,L,,,,,,,,,,
22.6,320,L,,,,,,,,,,
22.6,180,L,,,,,,,,,,
22.6,270,L,,,,,,,,,,
22.6,280,L,,,,,,,,,,
22.6,190,L,,,,,,,,,,
22.6,160,L,,,,,,,,,,
32,310,L,,,,,,,,,,
32,170,L,,,,,,,,,,
32,300,L,,,,,,,,,,
32,550,L,,,,,,,,,,
32,270,L,,,,,,,,,,
32,310,L,,,,,,,,,,
32,180,L,,,,,,,,,,
32,190,L,,,,,,,,,,
32,380,L,,,,,,,,,,
32,140,L,,,,,,,,,,
32,270,L,,,,,,,,,,
32,390,L,,,,,,,,,,
32,250,L,,,,,,,,,,
32,440,L,,,,,,,,,,
32,340,L,,,,,,,,,,
45,280,L,,,,,,,,,,
45,190,L,,,,,,,,,,
45,490,L,,,,,,,,,,
45,410,L,,,,,,,,,,
45,150,L,,,,,,,,,,
45,550,L,,,,,,,,,,
45,630,L,,,,,,,,,,
45,360,L,,,,,,,,,,
45,320,L,,,,,,,,,,
45,270,L,,,,,,,,,,
45,200,L,,,,,,,,,,
45,300,L,,,,,,,,,,
45,190,L,,,,,,,,,,
45,660,L,,,,,,,,,,
45,370,L,,,,,,,,,,
64,280,L,,,,,,,,,,
64,190,L,,,,,,,,,,
64,260,L,,,,,,,,,,
64,380,L,,,,,,,,,,
64,240,L,,,,,,,,,,
64,420,L,,,,,,,,,,
64,340,L,,,,,,,,,,
64,170,L,,,,,,,,,,
64,160,L,,,,,,,,,,
64,80,L,,,,,,,,,,
64,330,L,,,,,,,,,,
64,430,L,,,,,,,,,,
64,230,L,,,,,,,,,,
64,1410,L,,,,,,,,,,
64,180,L,,,,,,,,,,
64,990,L,,,,,,,,,,
64,300,L,,,,,,,,,,
64,600,L,,,,,,,,,,
64,340,L,,,,,,,,,,
64,220,L,,,,,,,,,,
64,300,L,,,,,,,,,,
64,410,L,,,,,,,,,,
64,130,L,,,,,,,,,,
90,90,L,,,,,,,,,,
90,920,L,,,,,,,,,,
90,470,L,,,,,,,,,,
90,280,L,,,,,,,,,,
90,310,L,,,,,,,,,,
90,290,L,,,,,,,,,,
90,170,L,,,,,,,,,,
90,830,L,,,,,,,,,,
90,280,L,,,,,,,,,,
90,210,L,,,,,,,,,,
90,170,L,,,,,,,,,,
90,190,L,,,,,,,,,,
90,980,L,,,,,,,,,,
90,230,L,,,,,,,,,,
90,370,L,,,,,,,,,,
90,290,L,,,,,,,,,,
90,180,L,,,,,,,,,,
90,310,L,,,,,,,,,,
90,440,L,,,,,,,,,,
90,400,L,,,,,,,,,,
90,230,L,,,,,,,,,,
128,550,L,,,,,,,,,,
128,310,L,,,,,,,,,,
128,180,L,,,,,,,,,,
128,430,L,,,,,,,,,,
128,140,L,,,,,,,,,,
128,200,L,,,,,,,,,,
128,160,L,,,,,,,,,,
128,260,L,,,,,,,,,,
128,230,L,,,,,,,,,,
128,480,L,,,,,,,,,,
128,250,L,,,,,,,,,,
128,,,,,,,,,,,,
128,,,,,,,,,,,,
128,,,,,,,,,,,,
128,,,,,,,,,,,,
128,,,,,,,,,,,,
128,,,,,,,,,,,,
180,,,,,,,,,,,,
180,,,,,,,,,,,,
180,,,,,,,,,,,,
180,,,,,,,,,,,,
180,,,,,,,,,,,,
180,,,,,,,,,,,,
180,,,,,,,,,,,,
180,,,,,,,,,,,,
180,,,,,,,,,,,,
256,,,,,,,,,,,,
256,,,,,,,,,,,,
256,,,,,,,,,,,,
256,,,,,,,,,,,,
