bed_gs,talus_gs,lith,talus_dimensions,vert,depth,horiz,slope_distance,incline,bf_w,bluff_h,coord_n,coord_w
11,2580,L,,7.55,,19.35,,,38.1,20.25,36.033494,-93.12082
16,430,L,,,,,,,,,,
16,2350,L,,,,,,,,,,
16,970,L,,,,,,,,,,
16,480,L,,,,,,,,,,
16,570,L,,,,,,,,,,
16,560,L,,,,,,,,,,
16,480,L,,,,,,,,,,
16,470,L,,,,,,,,,,
22.6,460,L,,,,,,,,,,
22.6,800,L,,,,,,,,,,
22.6,410,L,,,,,,,,,,
22.6,210,L,,,,,,,,,,
22.6,1090,L,,,,,,,,,,
22.6,490,L,,,,,,,,,,
22.6,560,L,,,,,,,,,,
22.6,840,L,,,,,,,,,,
22.6,290,L,,,,,,,,,,
32,640,L,,,,,,,,,,
32,1300,L,,,,,,,,,,
32,240,L,,,,,,,,,,
32,390,L,,,,,,,,,,
32,480,L,,,,,,,,,,
32,350,L,,,,,,,,,,
32,710,L,,,,,,,,,,
32,320,L,,,,,,,,,,
32,790,L,,,,,,,,,,
32,380,L,,,,,,,,,,
32,460,L,,,,,,,,,,
32,390,L,,,,,,,,,,
32,300,L,,,,,,,,,,
32,430,L,,,,,,,,,,
32,430,L,,,,,,,,,,
32,170,L,,,,,,,,,,
32,810,L,,,,,,,,,,
45,1430,L,,,,,,,,,,
45,390,L,,,,,,,,,,
45,330,L,,,,,,,,,,
45,550,L,,,,,,,,,,
45,1610,L,,,,,,,,,,
45,500,L,,,,,,,,,,
45,730,L,,,,,,,,,,
45,520,L,,,,,,,,,,
45,860,L,,,,,,,,,,
45,890,L,,,,,,,,,,
45,280,L,,,,,,,,,,
45,220,L,,,,,,,,,,
45,960,L,,,,,,,,,,
45,390,L,,,,,,,,,,
45,3400,L,,,,,,,,,,
45,1000,L,,,,,,,,,,
45,3880,L,,,,,,,,,,
45,,,,,,,,,,,,
45,,,,,,,,,,,,
45,,,,,,,,,,,,
64,,,,,,,,,,,,
64,,,,,,,,,,,,
64,,,,,,,,,,,,
64,,,,,,,,,,,,
64,,,,,,,,,,,,
64,,,,,,,,,,,,
64,,,,,,,,,,,,
64,,,,,,,,,,,,
64,,,,,,,,,,,,
64,,,,,,,,,,,,
64,,,,,,,,,,,,
64,,,,,,,,,,,,
64,,,,,,,,,,,,
64,,,,,,,,,,,,
64,,,,,,,,,,,,
64,,,,,,,,,,,,
64,,,,,,,,,,,,
64,,,,,,,,,,,,
64,,,,,,,,,,,,
64,,,,,,,,,,,,
90,,,,,,,,,,,,
90,,,,,,,,,,,,
90,,,,,,,,,,,,
90,,,,,,,,,,,,
90,,,,,,,,,,,,
90,,,,,,,,,,,,
90,,,,,,,,,,,,
90,,,,,,,,,,,,
90,,,,,,,,,,,,
90,,,,,,,,,,,,
90,,,,,,,,,,,,
90,,,,,,,,,,,,
90,,,,,,,,,,,,
90,,,,,,,,,,,,
90,,,,,,,,,,,,
90,,,,,,,,,,,,
90,,,,,,,,,,,,
90,,,,,,,,,,,,
90,,,,,,,,,,,,
90,,,,,,,,,,,,
90,,,,,,,,,,,,
90,,,,,,,,,,,,
90,,,,,,,,,,,,
90,,,,,,,,,,,,
128,,,,,,,,,,,,
128,,,,,,,,,,,,
128,,,,,,,,,,,,
128,,,,,,,,,,,,
128,,,,,,,,,,,,
128,,,,,,,,,,,,
128,,,,,,,,,,,,
128,,,,,,,,,,,,
128,,,,,,,,,,,,
128,,,,,,,,,,,,
128,,,,,,,,,,,,
180,,,,,,,,,,,,
180,,,,,,,,,,,,
180,,,,,,,,,,,,
