bed_gs,talus_gs,lith,talus_dimensions,vert,horiz,slope_distance,incline,bf_w,bluff_h,coord_n,coord_w
8,980,S,,3.02,14.35,,,39.39,17.3,36.01272747,-93.35736873
8,410,S,,1.04,29.78,,,32.64,,,
11,740,L,,,,,,,,,
11,670,S,,,,,,,,,
16,840,S,,,,,,,,,
22.6,160,S,,,,,,,,,
22.6,220,S,,,,,,,,,
22.6,490,S,,,,,,,,,
22.6,430,S,,,,,,,,,
32,120,S,,,,,,,,,
32,690,L,,,,,,,,,
32,270,S,,,,,,,,,
32,330,S,,,,,,,,,
45,560,L,,,,,,,,,
45,210,S,,,,,,,,,
45,330,S,,,,,,,,,
64,200,S,,,,,,,,,
64,170,S,,,,,,,,,
64,260,S,,,,,,,,,
64,330,S,,,,,,,,,
64,850,S,,,,,,,,,
64,200,S,,,,,,,,,
64,380,L,,,,,,,,,
64,150,S,,,,,,,,,
64,660,S,,,,,,,,,
64,370,S,,,,,,,,,
64,910,S,,,,,,,,,
64,290,S,,,,,,,,,
64,460,S,,,,,,,,,
64,120,L,,,,,,,,,
64,390,S,,,,,,,,,
64,200,S,,,,,,,,,
64,600,L,,,,,,,,,
64,350,S,,,,,,,,,
64,360,L,,,,,,,,,
64,190,L,,,,,,,,,
64,250,S,,,,,,,,,
64,600,S,,,,,,,,,
90,510,S,,,,,,,,,
90,580,S,,,,,,,,,
90,470,L,,,,,,,,,
90,130,S,,,,,,,,,
90,860,S,,,,,,,,,
90,140,S,,,,,,,,,
90,300,S,,,,,,,,,
90,460,L,,,,,,,,,
90,220,L,,,,,,,,,
90,240,L,,,,,,,,,
90,310,L,,,,,,,,,
90,510,S,,,,,,,,,
90,290,L,,,,,,,,,
90,620,L,,,,,,,,,
90,170,L,,,,,,,,,
128,280,S,,,,,,,,,
128,300,L,,,,,,,,,
128,250,S,,,,,,,,,
128,530,S,,,,,,,,,
128,260,L,,,,,,,,,
128,370,S,,,,,,,,,
128,240,S,,,,,,,,,
128,370,S,,,,,,,,,
128,460,S,,,,,,,,,
128,530,S,,,,,,,,,
128,720,S,,,,,,,,,
128,370,S,,,,,,,,,
128,410,S,,,,,,,,,
128,120,L,,,,,,,,,
128,160,S,,,,,,,,,
128,300,S,,,,,,,,,
128,810,S,,,,,,,,,
128,310,S,,,,,,,,,
128,600,S,,,,,,,,,
128,250,S,,,,,,,,,
128,290,S,,,,,,,,,
128,110,S,,,,,,,,,
180,360,S,,,,,,,,,
180,310,S,,,,,,,,,
180,260,S,,,,,,,,,
180,1170,S,,,,,,,,,
180,130,S,,,,,,,,,
180,370,L,,,,,,,,,
180,,,,,,,,,,,
180,,,,,,,,,,,
180,,,,,,,,,,,
180,,,,,,,,,,,
180,,,,,,,,,,,
180,,,,,,,,,,,
180,,,,,,,,,,,
180,,,,,,,,,,,
180,,,,,,,,,,,
180,,,,,,,,,,,
180,,,,,,,,,,,
256,,,,,,,,,,,
256,,,,,,,,,,,
256,,,,,,,,,,,
256,,,,,,,,,,,
256,,,,,,,,,,,
256,,,,,,,,,,,
256,,,,,,,,,,,
256,,,,,,,,,,,
256,,,,,,,,,,,
256,,,,,,,,,,,
256,,,,,,,,,,,
256,,,,,,,,,,,
256,,,,,,,,,,,
256,,,,,,,,,,,
256,,,,,,,,,,,
362,,,,,,,,,,,
362,,,,,,,,,,,
362,,,,,,,,,,,
362,,,,,,,,,,,
362,,,,,,,,,,,
362,,,,,,,,,,,
362,,,,,,,,,,,
362,,,,,,,,,,,
