bed_gs,talus_gs,lith,talus_dimensions,vert,horiz,depth,incline,bf_w,bluff_h,coord_n,coord_w
5.6,1660,S,,15.92,88.78,14.6,,31.74,58.56,36.047677,-93.337651
8,220,S,,,,,,,,,
11,550,S,,,,,,,,,
11,390,S,,,,,,,,,
11,820,S,,,,,,,,,
16,330,S,,,,,,,,,
16,530,L,,,,,,,,,
16,640,S,,,,,,,,,
16,130,S,,,,,,,,,
16,650,L,,,,,,,,,
16,380,L,,,,,,,,,
22.6,360,S,,,,,,,,,
22.6,470,S,,,,,,,,,
22.6,1010,S,,,,,,,,,
22.6,230,L,,,,,,,,,
22.6,1270,S,,,,,,,,,
22.6,220,S,,,,,,,,,
22.6,560,S,,,,,,,,,
22.6,200,S,,,,,,,,,
22.6,420,S,,,,,,,,,
22.6,1010,S,,,,,,,,,
22.6,190,L,,,,,,,,,
22.6,590,S,,,,,,,,,
22.6,1170,S,,,,,,,,,
22.6,190,L,,,,,,,,,
22.6,160,S,,,,,,,,,
22.6,350,S,,,,,,,,,
22.6,460,S,,,,,,,,,
22.6,370,S,,,,,,,,,
22.6,530,S,,,,,,,,,
22.6,280,S,,,,,,,,,
22.6,150,S,,,,,,,,,
22.6,260,S,,,,,,,,,
22.6,160,S,,,,,,,,,
22.6,230,L,,,,,,,,,
22.6,300,S,,,,,,,,,
22.6,710,S,,,,,,,,,
22.6,230,S,,,,,,,,,
22.6,1010,S,,,,,,,,,
32,260,S,,,,,,,,,
32,1710,S,,,,,,,,,
32,220,S,,,,,,,,,
32,170,S,,,,,,,,,
32,220,S,,,,,,,,,
32,790,S,,,,,,,,,
32,150,S,,,,,,,,,
32,600,S,,,,,,,,,
32,370,S,,,,,,,,,
32,210,S,,,,,,,,,
32,330,L,,,,,,,,,
32,1200,S,,,,,,,,,
32,540,S,,,,,,,,,
32,360,S,,,,,,,,,
32,320,S,,,,,,,,,
32,250,S,,,,,,,,,
32,290,L,,,,,,,,,
32,250,S,,,,,,,,,
32,260,S,,,,,,,,,
32,,,,,,,,,,,
32,,,,,,,,,,,
32,,,,,,,,,,,
32,,,,,,,,,,,
32,,,,,,,,,,,
32,,,,,,,,,,,
32,,,,,,,,,,,
32,,,,,,,,,,,
32,,,,,,,,,,,
32,,,,,,,,,,,
32,,,,,,,,,,,
32,,,,,,,,,,,
32,,,,,,,,,,,
32,,,,,,,,,,,
32,,,,,,,,,,,
32,,,,,,,,,,,
32,,,,,,,,,,,
45,,,,,,,,,,,
45,,,,,,,,,,,
45,,,,,,,,,,,
45,,,,,,,,,,,
45,,,,,,,,,,,
45,,,,,,,,,,,
45,,,,,,,,,,,
45,,,,,,,,,,,
45,,,,,,,,,,,
45,,,,,,,,,,,
45,,,,,,,,,,,
45,,,,,,,,,,,
45,,,,,,,,,,,
45,,,,,,,,,,,
45,,,,,,,,,,,
45,,,,,,,,,,,
45,,,,,,,,,,,
45,,,,,,,,,,,
45,,,,,,,,,,,
45,,,,,,,,,,,
45,,,,,,,,,,,
45,,,,,,,,,,,
45,,,,,,,,,,,
45,,,,,,,,,,,
45,,,,,,,,,,,
45,,,,,,,,,,,
45,,,,,,,,,,,
45,,,,,,,,,,,
45,,,,,,,,,,,
45,,,,,,,,,,,
45,,,,,,,,,,,
45,,,,,,,,,,,
45,,,,,,,,,,,
45,,,,,,,,,,,
45,,,,,,,,,,,
64,,,,,,,,,,,
64,,,,,,,,,,,
64,,,,,,,,,,,
64,,,,,,,,,,,
64,,,,,,,,,,,
64,,,,,,,,,,,
64,,,,,,,,,,,
64,,,,,,,,,,,
64,,,,,,,,,,,
64,,,,,,,,,,,
64,,,,,,,,,,,
64,,,,,,,,,,,
64,,,,,,,,,,,
64,,,,,,,,,,,
64,,,,,,,,,,,
64,,,,,,,,,,,
64,,,,,,,,,,,
64,,,,,,,,,,,
64,,,,,,,,,,,
64,,,,,,,,,,,
90,,,,,,,,,,,
90,,,,,,,,,,,
90,,,,,,,,,,,
90,,,,,,,,,,,
90,,,,,,,,,,,
90,,,,,,,,,,,
90,,,,,,,,,,,
90,,,,,,,,,,,
90,,,,,,,,,,,
90,,,,,,,,,,,
90,,,,,,,,,,,
90,,,,,,,,,,,
90,,,,,,,,,,,
90,,,,,,,,,,,
90,,,,,,,,,,,
90,,,,,,,,,,,
128,,,,,,,,,,,
128,,,,,,,,,,,
128,,,,,,,,,,,
128,,,,,,,,,,,
128,,,,,,,,,,,
128,,,,,,,,,,,
128,,,,,,,,,,,
128,,,,,,,,,,,
128,,,,,,,,,,,
128,,,,,,,,,,,
180,,,,,,,,,,,
180,,,,,,,,,,,
180,,,,,,,,,,,
