bed_gs,talus_gs,lith,talus_dimensions,vert,depth,horiz,slope_distance,incline,bf_w,bluff_h,coord_n,coord_w
16,440,L,,,,49.8,,,24.03,23.39,35.967619,-93.398696
32,790,L,,,,,,,,8.37,,
32,120,L,,,,,,,,,,
32,260,L,,,,,,,,,,
32,270,L,,,,,,,,,,
32,140,L,,,,,,,,,,
32,160,L,,,,,,,,,,
32,300,L,,,,,,,,,,
45,150,L,,,,,,,,,,
45,140,L,,,,,,,,,,
64,550,L,,,,,,,,,,
64,170,L,,,,,,,,,,
64,600,L,,,,,,,,,,
64,410,L,,,,,,,,,,
64,200,L,,,,,,,,,,
64,190,L,,,,,,,,,,
64,240,L,,,,,,,,,,
64,310,L,,,,,,,,,,
64,200,L,,,,,,,,,,
64,480,L,,,,,,,,,,
64,180,L,,,,,,,,,,
64,500,L,,,,,,,,,,
64,90,L,,,,,,,,,,
64,260,L,,,,,,,,,,
90,530,L,,,,,,,,,,
90,210,L,,,,,,,,,,
90,240,L,,,,,,,,,,
90,120,L,,,,,,,,,,
90,810,L,,,,,,,,,,
90,380,L,,,,,,,,,,
90,240,L,,,,,,,,,,
90,110,L,,,,,,,,,,
90,630,L,,,,,,,,,,
90,160,L,,,,,,,,,,
90,210,L,,,,,,,,,,
90,130,L,,,,,,,,,,
90,140,L,,,,,,,,,,
90,280,L,,,,,,,,,,
128,140,L,,,,,,,,,,
128,460,L,,,,,,,,,,
128,170,L,,,,,,,,,,
128,460,L,,,,,,,,,,
128,490,L,,,,,,,,,,
128,310,L,,,,,,,,,,
128,210,L,,,,,,,,,,
128,180,L,,,,,,,,,,
128,440,L,,,,,,,,,,
128,190,L,,,,,,,,,,
128,250,L,,,,,,,,,,
128,350,L,,,,,,,,,,
128,100,L,,,,,,,,,,
128,410,L,,,,,,,,,,
128,160,L,,,,,,,,,,
128,490,L,,,,,,,,,,
128,180,L,,,,,,,,,,
128,130,L,,,,,,,,,,
128,490,L,,,,,,,,,,
128,270,L,,,,,,,,,,
128,660,L,,,,,,,,,,
128,650,L,,,,,,,,,,
128,830,L,,,,,,,,,,
180,770,L,,,,,,,,,,
180,520,L,,,,,,,,,,
180,1360,L,,,,,,,,,,
180,360,L,,,,,,,,,,
180,180,L,,,,,,,,,,
180,1040,L,,,,,,,,,,
180,620,L,,,,,,,,,,
180,300,L,,,,,,,,,,
180,170,L,,,,,,,,,,
180,390,L,,,,,,,,,,
180,470,L,,,,,,,,,,
180,270,L,,,,,,,,,,
180,260,L,,,,,,,,,,
180,280,L,,,,,,,,,,
180,250,L,,,,,,,,,,
180,170,L,,,,,,,,,,
180,400,L,,,,,,,,,,
180,90,L,,,,,,,,,,
180,400,L,,,,,,,,,,
180,650,L,,,,,,,,,,
180,,,,,,,,,,,,
180,,,,,,,,,,,,
180,,,,,,,,,,,,
180,,,,,,,,,,,,
180,,,,,,,,,,,,
180,,,,,,,,,,,,
180,,,,,,,,,,,,
180,,,,,,,,,,,,
256,,,,,,,,,,,,
256,,,,,,,,,,,,
256,,,,,,,,,,,,
256,,,,,,,,,,,,
256,,,,,,,,,,,,
256,,,,,,,,,,,,
256,,,,,,,,,,,,
256,,,,,,,,,,,,
256,,,,,,,,,,,,
256,,,,,,,,,,,,
256,,,,,,,,,,,,
256,,,,,,,,,,,,
256,,,,,,,,,,,,
256,,,,,,,,,,,,
256,,,,,,,,,,,,
256,,,,,,,,,,,,
256,,,,,,,,,,,,
256,,,,,,,,,,,,
256,,,,,,,,,,,,
256,,,,,,,,,,,,
256,,,,,,,,,,,,
256,,,,,,,,,,,,
362,,,,,,,,,,,,
362,,,,,,,,,,,,
362,,,,,,,,,,,,
362,,,,,,,,,,,,
362,,,,,,,,,,,,
362,,,,,,,,,,,,
362,,,,,,,,,,,,
362,,,,,,,,,,,,
362,,,,,,,,,,,,
362,,,,,,,,,,,,
362,,,,,,,,,,,,
362,,,,,,,,,,,,
362,,,,,,,,,,,,
362,,,,,,,,,,,,
362,,,,,,,,,,,,
