bed_gs,talus_gs,lith,talus_dimensions,vert,horiz,slope_distance,incline,bf_w,bluff_h,coord_n,coord_w
5.6,110,L,,5-10%,30,,,35.71,,35.942327,-93.405324
8,130,L,,,,,,,,,
8,140,L,,,,,,,,,
11,200,L,,,,,,,,,
11,240,L,,,,,,,,,
11,80,L,,,,,,,,,
16,210,L,,,,,,,,,
16,130,L,,,,,,,,,
16,200,L,,,,,,,,,
16,100,L,,,,,,,,,
16,220,L,,,,,,,,,
16,130,L,,,,,,,,,
16,190,L,,,,,,,,,
16,80,L,,,,,,,,,
22.6,90,L,,,,,,,,,
22.6,50,L,,,,,,,,,
22.6,90,L,,,,,,,,,
22.6,40,L,,,,,,,,,
22.6,100,L,,,,,,,,,
22.6,70,L,,,,,,,,,
22.6,170,L,,,,,,,,,
22.6,210,L,,,,,,,,,
22.6,120,L,,,,,,,,,
22.6,40,L,,,,,,,,,
22.6,250,L,,,,,,,,,
22.6,160,L,,,,,,,,,
32,90,L,,,,,,,,,
32,40,L,,,,,,,,,
32,200,L,,,,,,,,,
32,80,L,,,,,,,,,
32,100,L,,,,,,,,,
32,80,L,,,,,,,,,
32,80,L,,,,,,,,,
32,40,L,,,,,,,,,
32,40,L,,,,,,,,,
32,90,L,,,,,,,,,
32,70,L,,,,,,,,,
32,40,L,,,,,,,,,
32,110,L,,,,,,,,,
32,80,L,,,,,,,,,
32,50,L,,,,,,,,,
32,70,L,,,,,,,,,
32,70,L,,,,,,,,,
32,50,L,,,,,,,,,
32,110,L,,,,,,,,,
32,60,L,,,,,,,,,
32,140,L,,,,,,,,,
32,270,L,,,,,,,,,
45,120,L,,,,,,,,,
45,110,L,,,,,,,,,
45,120,L,,,,,,,,,
45,260,L,(not rand),,,,,,,,
45,,,,,,,,,,,
45,,,,,,,,,,,
45,,,,,,,,,,,
45,,,,,,,,,,,
45,,,,,,,,,,,
45,,,,,,,,,,,
45,,,,,,,,,,,
45,,,,,,,,,,,
45,,,,,,,,,,,
45,,,,,,,,,,,
45,,,,,,,,,,,
45,,,,,,,,,,,
64,,,,,,,,,,,
64,,,,,,,,,,,
64,,,,,,,,,,,
64,,,,,,,,,,,
64,,,,,,,,,,,
64,,,,,,,,,,,
64,,,,,,,,,,,
64,,,,,,,,,,,
64,,,,,,,,,,,
64,,,,,,,,,,,
64,,,,,,,,,,,
64,,,,,,,,,,,
64,,,,,,,,,,,
64,,,,,,,,,,,
64,,,,,,,,,,,
64,,,,,,,,,,,
64,,,,,,,,,,,
64,,,,,,,,,,,
64,,,,,,,,,,,
64,,,,,,,,,,,
64,,,,,,,,,,,
64,,,,,,,,,,,
64,,,,,,,,,,,
64,,,,,,,,,,,
64,,,,,,,,,,,
64,,,,,,,,,,,
64,,,,,,,,,,,
64,,,,,,,,,,,
64,,,,,,,,,,,
64,,,,,,,,,,,
64,,,,,,,,,,,
90,,,,,,,,,,,
90,,,,,,,,,,,
90,,,,,,,,,,,
90,,,,,,,,,,,
90,,,,,,,,,,,
90,,,,,,,,,,,
90,,,,,,,,,,,
90,,,,,,,,,,,
90,,,,,,,,,,,
90,,,,,,,,,,,
128,,,,,,,,,,,
128,,,,,,,,,,,
128,,,,,,,,,,,
128,,,,,,,,,,,
128,,,,,,,,,,,
128,,,,,,,,,,,
128,,,,,,,,,,,
180,,,,,,,,,,,
