bed_gs,talus_gs,lith,talus_dimensions,vert,depth,horiz,slope_distance,incline,bf_w,bluff_h,coord_n,coord_w
8,620,L,,2.03,12.4,23.93,,,25.42,18.74,35.997389,-93.193686
8,240,L,,,,,,,,,,
8,210,L,,,,,,,,,,
8,1210,L,,,,,,,,,,
11,270,L,,,,,,,,,,
11,240,L,,,,,,,,,,
11,1020,L,,,,,,,,,,
11,330,L,,,,,,,,,,
11,250,L,,,,,,,,,,
16,180,L,,,,,,,,,,
16,350,L,,,,,,,,,,
16,140,L,,,,,,,,,,
16,710,L,,,,,,,,,,
16,190,L,,,,,,,,,,
16,490,L,,,,,,,,,,
16,290,L,,,,,,,,,,
22.6,460,L,,,,,,,,,,
22.6,570,L,,,,,,,,,,
22.6,520,L,,,,,,,,,,
32,610,L,,,,,,,,,,
32,150,L,,,,,,,,,,
32,300,L,,,,,,,,,,
32,480,L,,,,,,,,,,
32,910,L,,,,,,,,,,
32,790,L,,,,,,,,,,
32,270,L,,,,,,,,,,
32,250,L,,,,,,,,,,
32,610,L,,,,,,,,,,
32,910,L,,,,,,,,,,
32,220,L,,,,,,,,,,
32,640,L,,,,,,,,,,
32,300,L,,,,,,,,,,
32,510,L,,,,,,,,,,
32,170,L,,,,,,,,,,
32,360,L,,,,,,,,,,
32,390,L,,,,,,,,,,
32,1600,L,,,,,,,,,,
32,2930,L,,,,,,,,,,
32,1110,L,,,,,,,,,,
32,540,L,,,,,,,,,,
45,170,L,,,,,,,,,,
45,480,L,,,,,,,,,,
45,210,L,,,,,,,,,,
45,2700,L,,,,,,,,,,
45,340,L,,,,,,,,,,
45,290,L,,,,,,,,,,
45,340,L,,,,,,,,,,
45,290,L,,,,,,,,,,
45,310,L,,,,,,,,,,
45,570,L,,,,,,,,,,
45,250,L,,,,,,,,,,
45,210,L,,,,,,,,,,
45,510,L,,,,,,,,,,
45,690,L,,,,,,,,,,
45,340,L,,,,,,,,,,
45,240,L,,,,,,,,,,
45,170,L,,,,,,,,,,
45,160,L,,,,,,,,,,
45,1570,L,,,,,,,,,,
45,210,L,,,,,,,,,,
45,290,L,,,,,,,,,,
45,320,L,,,,,,,,,,
45,310,L,,,,,,,,,,
45,330,L,,,,,,,,,,
45,240,L,,,,,,,,,,
45,370,L,,,,,,,,,,
45,240,L,,,,,,,,,,
45,990,L,,,,,,,,,,
45,140,L,,,,,,,,,,
45,230,L,,,,,,,,,,
45,170,L,,,,,,,,,,
45,,,,,,,,,,,,
45,,,,,,,,,,,,
45,,,,,,,,,,,,
45,,,,,,,,,,,,
45,,,,,,,,,,,,
64,,,,,,,,,,,,
64,,,,,,,,,,,,
64,,,,,,,,,,,,
64,,,,,,,,,,,,
64,,,,,,,,,,,,
64,,,,,,,,,,,,
64,,,,,,,,,,,,
64,,,,,,,,,,,,
64,,,,,,,,,,,,
64,,,,,,,,,,,,
64,,,,,,,,,,,,
64,,,,,,,,,,,,
64,,,,,,,,,,,,
64,,,,,,,,,,,,
64,,,,,,,,,,,,
64,,,,,,,,,,,,
64,,,,,,,,,,,,
64,,,,,,,,,,,,
64,,,,,,,,,,,,
64,,,,,,,,,,,,
64,,,,,,,,,,,,
64,,,,,,,,,,,,
64,,,,,,,,,,,,
64,,,,,,,,,,,,
64,,,,,,,,,,,,
64,,,,,,,,,,,,
64,,,,,,,,,,,,
64,,,,,,,,,,,,
64,,,,,,,,,,,,
64,,,,,,,,,,,,
64,,,,,,,,,,,,
64,,,,,,,,,,,,
90,,,,,,,,,,,,
90,,,,,,,,,,,,
90,,,,,,,,,,,,
90,,,,,,,,,,,,
90,,,,,,,,,,,,
90,,,,,,,,,,,,
90,,,,,,,,,,,,
90,,,,,,,,,,,,
90,,,,,,,,,,,,
90,,,,,,,,,,,,
90,,,,,,,,,,,,
90,,,,,,,,,,,,
128,,,,,,,,,,,,
128,,,,,,,,,,,,
128,,,,,,,,,,,,
128,,,,,,,,,,,,
128,,,,,,,,,,,,
128,,,,,,,,,,,,
128,,,,,,,,,,,,
128,,,,,,,,,,,,
180,,,,,,,,,,,,
180,,,,,,,,,,,,
180,,,,,,,,,,,,
180,,,,,,,,,,,,
180,,,,,,,,,,,,
256,,,,,,,,,,,,
256,,,,,,,,,,,,
362,,,,,,,,,,,,
