bed_gs,talus_gs,lith,talus_dimensions,vert,depth,horiz,slope_distance,incline,bf_w,bluff_h,coord_n,coord_w
16,750,L,,4.13,4.36,9.5,,,20.2,6.68,35.950855,-93.303411
16,710,L,,,,,,,,,,
22.6,760,L,,,,,,,,,,
22.6,770,L,,,,,,,,,,
22.6,1000,L,,,,,,,,,,
32,1000,L,,,,,,,,,,
32,210,L,,,,,,,,,,
32,420,L,,,,,,,,,,
32,230,L,,,,,,,,,,
32,470,L,,,,,,,,,,
32,250,L,,,,,,,,,,
32,610,L,,,,,,,,,,
32,290,L,,,,,,,,,,
45,410,L,,,,,,,,,,
45,610,L,,,,,,,,,,
45,630,L,,,,,,,,,,
45,420,L,,,,,,,,,,
45,860,L,,,,,,,,,,
45,710,L,,,,,,,,,,
45,550,L,,,,,,,,,,
45,890,L,,,,,,,,,,
45,310,L,,,,,,,,,,
64,130,L,,,,,,,,,,
64,180,L,,,,,,,,,,
64,330,L,,,,,,,,,,
64,190,L,,,,,,,,,,
64,1100,L,,,,,,,,,,
64,190,L,,,,,,,,,,
64,200,L,,,,,,,,,,
64,700,L,,,,,,,,,,
64,740,L,,,,,,,,,,
64,650,L,,,,,,,,,,
64,370,L,,,,,,,,,,
64,120,L,,,,,,,,,,
64,570,L,,,,,,,,,,
64,190,L,,,,,,,,,,
64,370,L,,,,,,,,,,
64,130,L,,,,,,,,,,
64,,,,,,,,,,,,
64,,,,,,,,,,,,
64,,,,,,,,,,,,
64,,,,,,,,,,,,
64,,,,,,,,,,,,
90,,,,,,,,,,,,
90,,,,,,,,,,,,
90,,,,,,,,,,,,
90,,,,,,,,,,,,
90,,,,,,,,,,,,
90,,,,,,,,,,,,
90,,,,,,,,,,,,
90,,,,,,,,,,,,
90,,,,,,,,,,,,
90,,,,,,,,,,,,
90,,,,,,,,,,,,
90,,,,,,,,,,,,
90,,,,,,,,,,,,
90,,,,,,,,,,,,
90,,,,,,,,,,,,
90,,,,,,,,,,,,
90,,,,,,,,,,,,
90,,,,,,,,,,,,
128,,,,,,,,,,,,
128,,,,,,,,,,,,
128,,,,,,,,,,,,
128,,,,,,,,,,,,
128,,,,,,,,,,,,
128,,,,,,,,,,,,
128,,,,,,,,,,,,
128,,,,,,,,,,,,
128,,,,,,,,,,,,
128,,,,,,,,,,,,
128,,,,,,,,,,,,
128,,,,,,,,,,,,
128,,,,,,,,,,,,
128,,,,,,,,,,,,
128,,,,,,,,,,,,
128,,,,,,,,,,,,
128,,,,,,,,,,,,
128,,,,,,,,,,,,
128,,,,,,,,,,,,
128,,,,,,,,,,,,
128,,,,,,,,,,,,
128,,,,,,,,,,,,
128,,,,,,,,,,,,
180,,,,,,,,,,,,
180,,,,,,,,,,,,
180,,,,,,,,,,,,
180,,,,,,,,,,,,
180,,,,,,,,,,,,
180,,,,,,,,,,,,
180,,,,,,,,,,,,
180,,,,,,,,,,,,
180,,,,,,,,,,,,
180,,,,,,,,,,,,
180,,,,,,,,,,,,
180,,,,,,,,,,,,
180,,,,,,,,,,,,
180,,,,,,,,,,,,
180,,,,,,,,,,,,
180,,,,,,,,,,,,
180,,,,,,,,,,,,
180,,,,,,,,,,,,
180,,,,,,,,,,,,
180,,,,,,,,,,,,
180,,,,,,,,,,,,
180,,,,,,,,,,,,
180,,,,,,,,,,,,
180,,,,,,,,,,,,
256,,,,,,,,,,,,
256,,,,,,,,,,,,
256,,,,,,,,,,,,
256,,,,,,,,,,,,
256,,,,,,,,,,,,
256,,,,,,,,,,,,
362,,,,,,,,,,,,
362,,,,,,,,,,,,
362,,,,,,,,,,,,
362,,,,,,,,,,,,
362,,,,,,,,,,,,
362,,,,,,,,,,,,
362,,,,,,,,,,,,
