bed_gs,talus_gs,lith,talus_dimensions,vert,horiz,slope_distance,incline,flood_h,bf_w,bluff_h,coord_n,coord_w
8,340,L,,3.39,15.84,16.2,21.4,5-6 ft,,50.96,36.035264,-93.344549
16,650,L,,,,,,above bf,,,,
16,470,L,,,,,,,,,,
22.6,170,L,,,,,,,,,,
22.6,410,L,,,,,,,,,,
22.6,680,S,,,,,,,,,,
22.6,430,S,,,,,,,,,,
22.6,390,L,,,,,,,,,,
22.6,1300,S,,,,,,,,,,
32,200,L,,,,,,,,,,
32,1740,S,,,,,,,,,,
32,500,S,,,,,,,,,,
32,190,L,,,,,,,,,,
32,200,S,,,,,,,,,,
32,290,S,,,,,,,,,,
32,130,L,,,,,,,,,,
32,410,S,,,,,,,,,,
32,540,S,,,,,,,,,,
32,180,L,,,,,,,,,,
32,150,L,,,,,,,,,,
32,150,S,,,,,,,,,,
45,300,S,,,,,,,,,,
45,260,L,,,,,,,,,,
45,120,S,,,,,,,,,,
45,280,S,,,,,,,,,,
45,200,S,,,,,,,,,,
45,260,S,,,,,,,,,,
45,220,S,,,,,,,,,,
45,580,L,,,,,,,,,,
45,270,L,,,,,,,,,,
45,490,S,,,,,,,,,,
45,250,S,,,,,,,,,,
45,1020,S,,,,,,,,,,
45,690,S,,,,,,,,,,
45,240,L,,,,,,,,,,
64,750,S,,,,,,,,,,
64,200,L,,,,,,,,,,
64,1420,S,,,,,,,,,,
64,810,S,,,,,,,,,,
64,1010,S,,,,,,,,,,
64,440,S,,,,,,,,,,
64,770,S,,,,,,,,,,
64,180,S,,,,,,,,,,
64,410,S,,,,,,,,,,
64,250,S,,,,,,,,,,
64,860,S,,,,,,,,,,
64,210,S,,,,,,,,,,
64,170,S,,,,,,,,,,
64,390,L,,,,,,,,,,
64,340,S,,,,,,,,,,
64,490,S,,,,,,,,,,
64,1220,S,,,,,,,,,,
64,390,L,,,,,,,,,,
64,480,S,,,,,,,,,,
64,180,L,,,,,,,,,,
64,760,S,,,,,,,,,,
64,320,S,,,,,,,,,,
64,350,S,,,,,,,,,,
64,150,L,,,,,,,,,,
90,1290,S,,,,,,,,,,
90,730,S,,,,,,,,,,
90,270,S,,,,,,,,,,
90,370,S,,,,,,,,,,
90,,,,,,,,,,,,
90,,,,,,,,,,,,
90,,,,,,,,,,,,
90,,,,,,,,,,,,
90,,,,,,,,,,,,
90,,,,,,,,,,,,
90,,,,,,,,,,,,
90,,,,,,,,,,,,
90,,,,,,,,,,,,
90,,,,,,,,,,,,
90,,,,,,,,,,,,
128,,,,,,,,,,,,
128,,,,,,,,,,,,
128,,,,,,,,,,,,
128,,,,,,,,,,,,
128,,,,,,,,,,,,
128,,,,,,,,,,,,
128,,,,,,,,,,,,
128,,,,,,,,,,,,
128,,,,,,,,,,,,
128,,,,,,,,,,,,
128,,,,,,,,,,,,
128,,,,,,,,,,,,
128,,,,,,,,,,,,
128,,,,,,,,,,,,
128,,,,,,,,,,,,
128,,,,,,,,,,,,
128,,,,,,,,,,,,
128,,,,,,,,,,,,
128,,,,,,,,,,,,
128,,,,,,,,,,,,
128,,,,,,,,,,,,
128,,,,,,,,,,,,
128,,,,,,,,,,,,
128,,,,,,,,,,,,
180,,,,,,,,,,,,
180,,,,,,,,,,,,
180,,,,,,,,,,,,
180,,,,,,,,,,,,
180,,,,,,,,,,,,
180,,,,,,,,,,,,
256,,,,,,,,,,,,
256,,,,,,,,,,,,
