bed_gs,talus_gs,lith,talus_dimensions,vert,depth,horiz,slope_distance,incline,bf_w,bluff_h,coord_n,coord_w
8,550,L,,,,,,,38.19,20.07,36.034995,-93.1418
8,770,L,,,,,,,,,,
8,280,L,,,,,,,,,,
11,690,L,,,,,,,,,,
11,660,L,,,,,,,,,,
11,320,L,,,,,,,,,,
11,680,L,,,,,,,,,,
11,1010,L,,,,,,,,,,
16,550,L,,,,,,,,,,
16,890,L,,,,,,,,,,
16,290,L,,,,,,,,,,
16,450,L,,,,,,,,,,
16,730,L,,,,,,,,,,
16,1450,L,,,,,,,,,,
16,340,L,,,,,,,,,,
16,360,L,,,,,,,,,,
16,730,L,,,,,,,,,,
16,540,L,,,,,,,,,,
16,280,L,,,,,,,,,,
16,470,L,,,,,,,,,,
22.6,150,L,,,,,,,,,,
22.6,330,L,,,,,,,,,,
22.6,240,L,,,,,,,,,,
22.6,350,L,,,,,,,,,,
22.6,180,L,,,,,,,,,,
22.6,370,L,,,,,,,,,,
22.6,220,L,,,,,,,,,,
22.6,300,L,,,,,,,,,,
22.6,180,L,,,,,,,,,,
22.6,140,L,,,,,,,,,,
22.6,420,L,,,,,,,,,,
22.6,310,L,,,,,,,,,,
22.6,220,L,,,,,,,,,,
22.6,290,L,,,,,,,,,,
22.6,180,L,,,,,,,,,,
22.6,180,L,,,,,,,,,,
22.6,180,L,,,,,,,,,,
22.6,150,L,,,,,,,,,,
22.6,400,L,,,,,,,,,,
22.6,400,L,,,,,,,,,,
22.6,290,L,,,,,,,,,,
32,200,L,,,,,,,,,,
32,770,L,,,,,,,,,,
32,410,L,,,,,,,,,,
32,470,L,,,,,,,,,,
32,520,L,,,,,,,,,,
32,150,L,,,,,,,,,,
32,230,L,,,,,,,,,,
32,210,L,,,,,,,,,,
32,260,L,,,,,,,,,,
32,310,L,,,,,,,,,,
32,780,L,,,,,,,,,,
32,330,L,,,,,,,,,,
32,970,L,,,,,,,,,,
32,280,L,,,,,,,,,,
32,320,L,,,,,,,,,,
32,,,,,,,,,,,,
32,,,,,,,,,,,,
32,,,,,,,,,,,,
32,,,,,,,,,,,,
32,,,,,,,,,,,,
32,,,,,,,,,,,,
32,,,,,,,,,,,,
32,,,,,,,,,,,,
32,,,,,,,,,,,,
32,,,,,,,,,,,,
45,,,,,,,,,,,,
45,,,,,,,,,,,,
45,,,,,,,,,,,,
45,,,,,,,,,,,,
45,,,,,,,,,,,,
45,,,,,,,,,,,,
45,,,,,,,,,,,,
45,,,,,,,,,,,,
45,,,,,,,,,,,,
45,,,,,,,,,,,,
45,,,,,,,,,,,,
45,,,,,,,,,,,,
45,,,,,,,,,,,,
45,,,,,,,,,,,,
45,,,,,,,,,,,,
45,,,,,,,,,,,,
45,,,,,,,,,,,,
45,,,,,,,,,,,,
45,,,,,,,,,,,,
45,,,,,,,,,,,,
45,,,,,,,,,,,,
64,,,,,,,,,,,,
64,,,,,,,,,,,,
64,,,,,,,,,,,,
64,,,,,,,,,,,,
64,,,,,,,,,,,,
64,,,,,,,,,,,,
64,,,,,,,,,,,,
64,,,,,,,,,,,,
64,,,,,,,,,,,,
64,,,,,,,,,,,,
64,,,,,,,,,,,,
64,,,,,,,,,,,,
64,,,,,,,,,,,,
64,,,,,,,,,,,,
64,,,,,,,,,,,,
64,,,,,,,,,,,,
64,,,,,,,,,,,,
64,,,,,,,,,,,,
64,,,,,,,,,,,,
90,,,,,,,,,,,,
90,,,,,,,,,,,,
90,,,,,,,,,,,,
90,,,,,,,,,,,,
90,,,,,,,,,,,,
90,,,,,,,,,,,,
90,,,,,,,,,,,,
90,,,,,,,,,,,,
90,,,,,,,,,,,,
90,,,,,,,,,,,,
90,,,,,,,,,,,,
90,,,,,,,,,,,,
90,,,,,,,,,,,,
90,,,,,,,,,,,,
128,,,,,,,,,,,,
128,,,,,,,,,,,,
128,,,,,,,,,,,,
128,,,,,,,,,,,,
128,,,,,,,,,,,,
128,,,,,,,,,,,,
128,,,,,,,,,,,,
128,,,,,,,,,,,,
180,,,,,,,,,,,,
